(1075380937, 1548698851) 	(1, set(["'exadirectioners'"]))
(1075380937, 1629145248) 	(1, set(["'exadirectioners'"]))
(1075380937, 1631428891) 	(1, set(["'exadirectioners'"]))
(1075380937, 1661727884) 	(1, set(["'exadirectioners'"]))
(1075380937, 1661758592) 	(1, set(["'exadirectioners'"]))
(1075380937, 1844115444) 	(1, set(["'exadirectioners'"]))
(1075380937, 190927690) 	(1, set(["'exadirectioners'"]))
(1075380937, 1951279062) 	(1, set(["'exadirectioners'"]))
(1075380937, 2155238964) 	(1, set(["'exadirectioners'"]))
(1075380937, 2267940914) 	(1, set(["'exadirectioners'"]))
(1075380937, 2268662113) 	(1, set(["'exadirectioners'"]))
(1075380937, 2268998065) 	(1, set(["'exadirectioners'"]))
(1075380937, 2277695316) 	(1, set(["'exadirectioners'"]))
(1075380937, 438409827) 	(1, set(["'exadirectioners'"]))
(1075380937, 482958998) 	(1, set(["'exadirectioners'"]))
(1075380937, 526112989) 	(1, set(["'exadirectioners'"]))
(1075380937, 550712914) 	(1, set(["'exadirectioners'"]))
(1075380937, 553667989) 	(1, set(["'exadirectioners'"]))
(1075380937, 735137947) 	(1, set(["'exadirectioners'"]))
(1075380937, 79492409) 	(1, set(["'exadirectioners'"]))
(1075380937, 806259788) 	(1, set(["'exadirectioners'"]))
(1075380937, 840229986) 	(1, set(["'exadirectioners'"]))
(1075380937, 895230932) 	(1, set(["'exadirectioners'"]))
(1075380937, 911562086) 	(1, set(["'exadirectioners'"]))
(1075380937, 981413491) 	(1, set(["'exadirectioners'"]))
(1075380937, 997377012) 	(1, set(["'exadirectioners'"]))
(1076647452, 603310986) 	(1, set(["'3hunna'"]))
(1087938565, 114190972) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 1566071593) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 1832243125) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 2261461237) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 2285351160) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 295536426) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 362504586) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 545603530) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 546215984) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 609517265) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 616706106) 	(1, set(["'twitterfuckedupfollowparty'"]))
(1087938565, 705320146) 	(1, set(["'twitterfuckedupfollowparty'"]))
