(190927690, 1629145248)	('exadirectioners',)
(190927690, 997377012)	('exadirectioners',)
(190927690, 981413491)	('exadirectioners',)
(190927690, 1495441500)	('exadirectioners',)
(190927690, 1844115444)	('exadirectioners',)
(190927690, 550712914)	('exadirectioners',)
(190927690, 911562086)	('exadirectioners',)
(190927690, 1548698851)	('exadirectioners',)
(190927690, 1500558018)	('exadirectioners',)
(190927690, 2267940914)	('exadirectioners',)
(190927690, 1075380937)	('exadirectioners',)
(190927690, 438409827)	('exadirectioners',)
(190927690, 1494898957)	('exadirectioners',)
(190927690, 1661758592)	('exadirectioners',)
(190927690, 2268998065)	('exadirectioners',)
(190927690, 1360486507)	('exadirectioners',)
(190927690, 806259788)	('exadirectioners',)
(190927690, 735137947)	('exadirectioners',)
(190927690, 2268662113)	('exadirectioners',)
(190927690, 526112989)	('exadirectioners',)
(190927690, 1064066208)	('exadirectioners',)
(190927690, 2277695316)	('exadirectioners',)
(190927690, 840229986)	('exadirectioners',)
(190927690, 1539967478)	('exadirectioners',)
(190927690, 1951279062)	('exadirectioners',)
(190927690, 482958998)	('exadirectioners',)
(190927690, 2155238964)	('exadirectioners',)
(190927690, 1661727884)	('exadirectioners',)
(190927690, 79492409)	('exadirectioners',)
(190927690, 553667989)	('exadirectioners',)
(190927690, 1280508122)	('exadirectioners',)
(1832243125, 545603530)	('twitterfuckedupfollowparty',)
(1832243125, 1065061434)	('followtrick',)
(1832243125, 792502831)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 981413491)	('followtrick',)
(1832243125, 234757597)	('followtrick',)
(1832243125, 705320146)	('twitterfuckedupfollowparty',)
(1832243125, 797598294)	('twitterfuckedupfollowparty',)
(1832243125, 546215984)	('twitterfuckedupfollowparty',)
(1832243125, 1911783176)	('followtrick',)
(1832243125, 2161734298)	('followtrick',)
(1832243125, 861521305)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 609517265)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 2207730809)	('followtrick',)
(1832243125, 2261461237)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 840229986)	('twitterfuckedupfollowparty',)
(1832243125, 2285351160)	('twitterfuckedupfollowparty',)
(1832243125, 114190972)	('twitterfuckedupfollowparty',)
(1832243125, 310914225)	('followtrick',)
(1832243125, 1566071593)	('twitterfuckedupfollowparty',)
(1832243125, 362504586)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 295536426)	('twitterfuckedupfollowparty',)
(1832243125, 616706106)	('twitterfuckedupfollowparty', 'followtrick')
(1832243125, 1087938565)	('twitterfuckedupfollowparty',)
(2279183851, 2195515543)	('justice4ksg',)
(2279183851, 2225030570)	('justice4ksg',)
(2279183851, 2277224558)	('justice4ksg',)
(405845947, 1440366828)	('prettylittleliars',)
(594187137, 153968990)	('giveaway',)
(594187137, 28398084)	('giveaway',)
(594187137, 55359948)	('win', 'giveaway')
(594187137, 987811740)	('win', 'giveaway')
(594187137, 27388344)	('win',)
(1065061434, 522811735)	('rt',)
(1065061434, 895578223)	('rt',)
(1065061434, 1832243125)	('followtrick',)
(1065061434, 54994600)	('rt',)
(1065061434, 792502831)	('followtrick',)
(1065061434, 981413491)	('followtrick',)
(1065061434, 234757597)	('followtrick',)
(1065061434, 378892142)	('rt',)
(1065061434, 1264007318)	('rt',)
(1065061434, 1911783176)	('followtrick',)
(1065061434, 2161734298)	('followtrick',)
(1065061434, 251055804)	('rt',)
(1065061434, 861521305)	('followtrick',)
(1065061434, 609517265)	('followtrick',)
(1065061434, 2207730809)	('followtrick',)
(1065061434, 2261461237)	('followtrick',)
(1065061434, 310914225)	('followtrick',)
(1065061434, 362504586)	('followtrick',)
(1065061434, 616706106)	('followtrick',)
(1065061434, 709633135)	('rt',)
(1065061434, 1731125918)	('rt',)
(466506540, 379480947)	('exodyoday',)
(466506540, 2261039574)	('exodyoday',)
(466506540, 1348608668)	('exodyoday',)
(466506540, 385779348)	('exodyoday',)
(466506540, 481834805)	('exodyoday',)
(466506540, 1279157114)	('exodyoday',)
(721865640, 975054740)	('cleveland',)
(721865640, 515064126)	('cleveland',)
(721865640, 87163427)	('cleveland',)
(97574616, 981611215)	('path',)
(97574616, 196229648)	('path',)
(97574616, 2165900536)	('path',)
(54994600, 522811735)	('rt',)
(54994600, 895578223)	('rt',)
(54994600, 1065061434)	('rt',)
(54994600, 378892142)	('rt',)
(54994600, 1264007318)	('rt',)
(54994600, 251055804)	('rt',)
(54994600, 709633135)	('rt',)
(54994600, 1731125918)	('rt',)
(1614711692, 26552251)	('iphone',)
(1614711692, 74229904)	('gameinsight', 'iphonegames', 'iphone')
(1614711692, 150164143)	('gameinsight',)
(1614711692, 1831597285)	('gameinsight',)
(1614711692, 175439030)	('gameinsight', 'iphonegames', 'iphone')
(1614711692, 85240499)	('gameinsight',)
(1614711692, 94967912)	('gameinsight',)
(1614711692, 1001668418)	('gameinsight',)
(1614711692, 173769451)	('gameinsight',)
(1614711692, 1335524202)	('gameinsight',)
(1614711692, 848626898)	('gameinsight',)
(1614711692, 2201792924)	('gameinsight',)
(1614711692, 1176542268)	('gameinsight',)
(1614711692, 2164881367)	('gameinsight',)
(1614711692, 184363448)	('gameinsight',)
(1614711692, 53450179)	('gameinsight',)
(1614711692, 254319787)	('gameinsight',)
(1614711692, 22663195)	('gameinsight',)
(1614711692, 328163581)	('gameinsight',)
(1614711692, 1282114200)	('gameinsight',)
(1614711692, 1242646303)	('gameinsight',)
(1614711692, 550199697)	('gameinsight',)
(1614711692, 417388167)	('gameinsight',)
(1614711692, 1407402936)	('gameinsight',)
(1614711692, 173769451)	('gameinsight',)
(1614711692, 259983969)	('gameinsight',)
(1614711692, 417388167)	('gameinsight',)
(1614711692, 280935112)	('gameinsight',)
(1614711692, 602380138)	('gameinsight',)
(1614711692, 556827415)	('gameinsight',)
(1614711692, 1261218080)	('gameinsight',)
(1614711692, 20146536)	('gameinsight',)
(1614711692, 74229904)	('gameinsight', 'iphonegames', 'iphone')
(1614711692, 241011705)	('iphone',)
(1614711692, 1234926085)	('gameinsight',)
(1614711692, 1220748181)	('gameinsight',)
(1614711692, 1459905258)	('gameinsight',)
(1614711692, 334323818)	('gameinsight',)
(1614711692, 26829635)	('gameinsight',)
(1614711692, 951244134)	('gameinsight',)
(792502831, 545603530)	('twitterfuckedupfollowparty',)
(792502831, 1832243125)	('twitterfuckedupfollowparty', 'followtrick')
(792502831, 1065061434)	('followtrick',)
(792502831, 981413491)	('followtrick',)
(792502831, 234757597)	('followtrick',)
(792502831, 705320146)	('twitterfuckedupfollowparty',)
(792502831, 797598294)	('twitterfuckedupfollowparty',)
(792502831, 546215984)	('twitterfuckedupfollowparty',)
(792502831, 1911783176)	('followtrick',)
(792502831, 2161734298)	('followtrick',)
